OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotPerformedCycles,TotBankingCycles,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTripLBRate1,FshNDTripLBRate2,FshNDTripLBRate3,FshNDTripLBRate4,FshNDTripLBRate5,FshNDTripLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTripLB_TransRate1,FshNDTripLB_TransRate2,FshNDTripLB_TransRate3,FshNDTripLB_TransRate4,FshNDTripLB_TransRate5,FshNDTripLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,FshNDPregnancies1,FshNDPregnancies2,FshNDPregnancies3,FshNDPregnancies4,FshNDPregnancies5,FshNDPregnancies6,FshNDSnglLB_PregRate1,FshNDSnglLB_PregRate2,FshNDSnglLB_PregRate3,FshNDSnglLB_PregRate4,FshNDSnglLB_PregRate5,FshNDSnglLB_PregRate6,FshNDTripLB_PregRate1,FshNDTripLB_PregRate2,FshNDTripLB_PregRate3,FshNDTripLB_PregRate4,FshNDTripLB_PregRate5,FshNDTripLB_PregRate6,FshNDLvBirths_PregRate1,FshNDLvBirths_PregRate2,FshNDLvBirths_PregRate3,FshNDLvBirths_PregRate4,FshNDLvBirths_PregRate5,FshNDLvBirths_PregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTripLB_TransRate1,ThwNDTripLB_TransRate2,ThwNDTripLB_TransRate3,ThwNDTripLB_TransRate4,ThwNDTripLB_TransRate5,ThwNDTripLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
124,VIERA FERTILITY CENTER,FERTILITY AND REPRODUCTIVE MEDICINE CENTER FOR WOMEN,MELBOURNE,FLORIDA,100%,35%,0%,3%,3%,29%,22%,34%,2%,12%,42%,5%,5%,22%,20%,41,0,"Diran Chamoun, MD",16,6,6,3,4,2,2 / 16,0 / 6,0 / 6,0 / 3,2 / 4,0 / 2,1.8,2.0,2.6,3.5,1.0,1.0,31.8,1 / 6,1 / 13,1 / 7,0 / 1,0 / 2,0 / 10,0 / 3,0 / 4,0 / 2,,,4 / 16,1 / 6,1 / 6,0 / 3,0 / 4,0 / 2,0 / 16,0 / 6,0 / 6,0 / 3,0 / 4,0 / 2,5 / 16,1 / 6,1 / 6,0 / 3,0 / 4,0 / 2,5 / 16,1 / 6,1 / 6,1 / 3,0 / 4,0 / 2,12,3,5,2,1,2,4 / 12,1 / 3,1 / 5,0 / 2,0 / 1,0 / 2,0 / 12,0 / 3,0 / 5,0 / 2,0 / 1,0 / 2,5 / 12,1 / 3,1 / 5,0 / 2,0 / 1,0 / 2,5 / 12,1 / 3,1 / 5,1 / 2,0 / 1,0 / 2,5,1,1,1,0,0,4 / 5,1 / 1,1 / 1,0 / 1,,,0 / 5,0 / 1,0 / 1,0 / 1,,,5 / 5,1 / 1,1 / 1,0 / 1,,,0,1,0,0,0,0,0,1,0,0,0,0,,1.0,,,,,,3.0,,,,,,3 / 3,,,,,,0 / 1,,,,,,0 / 1,,,,,,1 / 1,,,,,,1 / 1,,,,,2,1,2,1,2.0,3.0,2 / 4,2 / 3,1 / 2,1 / 1,1 / 2,1 / 1,2 / 2,1 / 1,"Viera Fertility Center, Fertility and Reproductive Medicine Center for Women",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
125,"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,85%,0%,2%,7%,17%,16%,52%,12%,13%,37%,33%,2%,30%,27%,425,0,"Michael H. Jacobs, MD",78,70,97,29,7,10,6.4,8.6,14.4,31.0,1 / 7,5 / 10,2.0,2.2,2.1,2.5,1.8,3.3,41.7,35.1,21.3,16.3,1 / 9,0 / 13,9.7,0.0,3.1,0 / 17,0 / 4,0 / 3,26.9,21.4,21.6,0.0,1 / 7,0 / 10,1.3,0.0,0.0,0.0,0 / 7,0 / 10,38.5,31.4,23.7,3.4,1 / 7,0 / 10,42.3,38.6,28.9,17.2,1 / 7,0 / 10,64,53,77,17,5,4,32.8,28.3,27.3,0 / 17,1 / 5,0 / 4,1.6,0.0,0.0,0 / 17,0 / 5,0 / 4,46.9,41.5,29.9,1 / 17,1 / 5,0 / 4,51.6,50.9,36.4,5 / 17,1 / 5,0 / 4,33,27,28,5,1,0,63.6,55.6,75.0,0 / 5,1 / 1,,3.0,0.0,0.0,0 / 5,0 / 1,,90.9,81.5,82.1,1 / 5,1 / 1,,33,22,17,13,3,6,32,21,16,13,3,6,2.1,2.3,1.3,3.3,,3.0,1.8,2.0,2.1,1.8,2.0,2.0,39.7,33.3,26.5,20.8,0 / 6,7 / 12,34.4,33.3,3 / 16,3 / 13,0 / 3,1 / 6,0.0,0.0,0 / 16,0 / 13,0 / 3,0 / 6,46.9,42.9,5 / 16,4 / 13,0 / 3,4 / 6,53.1,47.6,7 / 16,4 / 13,0 / 3,4 / 6,38,2,31,2,2.0,2.0,60.7,0 / 4,32.3,0 / 2,64.5,0 / 2,77.4,0 / 2,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
126,UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,100%,64%,0%,0%,4%,19%,6%,39%,6%,2%,36%,13%,11%,13%,16%,165,3,"George R. Attia, MD",43,33,28,18,2,0,4.7,9.1,28.6,2 / 18,1 / 2,,2.2,2.3,2.3,2.8,2.0,,32.6,33.9,20.9,6.7,0 / 2,,2.8,0.0,0 / 16,0 / 16,0 / 1,,25.6,21.2,17.9,2 / 18,0 / 2,,0.0,0.0,0.0,0 / 18,0 / 2,,41.9,36.4,25.0,2 / 18,0 / 2,,46.5,48.5,25.0,3 / 18,0 / 2,,39,27,19,16,1,0,28.2,25.9,5 / 19,2 / 16,0 / 1,,0.0,0.0,0 / 19,0 / 16,0 / 1,,46.2,44.4,7 / 19,2 / 16,0 / 1,,51.3,59.3,7 / 19,3 / 16,0 / 1,,20,16,7,3,0,0,55.0,7 / 16,5 / 7,2 / 3,,,0.0,0 / 16,0 / 7,0 / 3,,,90.0,12 / 16,7 / 7,2 / 3,,,14,7,6,3,1,0,13,7,5,2,1,0,1.9,2.3,1.7,2.0,,,2.0,2.1,2.4,2.0,2.0,,23.1,2 / 15,1 / 12,0 / 4,0 / 2,,3 / 13,1 / 7,1 / 5,0 / 2,0 / 1,,0 / 13,0 / 7,0 / 5,0 / 2,0 / 1,,3 / 13,1 / 7,1 / 5,0 / 2,0 / 1,,7 / 13,2 / 7,1 / 5,0 / 2,0 / 1,,6,1,6,1,1.8,4.0,5 / 11,0 / 4,2 / 6,0 / 1,3 / 6,0 / 1,4 / 6,0 / 1,University of Miami Infertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
127,"CENTER FOR REPRODUCTIVE MEDICINE, PA",,ORLANDO,FLORIDA,100%,58%,<1%,<1%,2%,11%,37%,20%,17%,6%,25%,9%,3%,11%,15%,802,85,"Randall A. Loy, MD",196,95,78,39,14,2,11.2,16.8,17.9,30.8,5 / 14,0 / 2,1.6,1.7,2.3,2.5,3.3,2.0,40.7,29.4,21.4,10.5,3.8,0 / 4,31.0,23.3,6.7,0 / 19,0 / 7,0 / 1,27.6,22.1,12.8,5.1,1 / 14,0 / 2,0.5,0.0,0.0,0.0,0 / 14,0 / 2,37.8,27.4,19.2,7.7,1 / 14,0 / 2,45.4,36.8,29.5,17.9,2 / 14,0 / 2,164,75,52,23,8,2,32.9,28.0,19.2,8.7,1 / 8,0 / 2,0.6,0.0,0.0,0.0,0 / 8,0 / 2,45.1,34.7,28.8,13.0,1 / 8,0 / 2,54.3,46.7,44.2,30.4,2 / 8,0 / 2,89,35,23,7,2,0,60.7,60.0,43.5,2 / 7,1 / 2,,1.1,0.0,0.0,0 / 7,0 / 2,,83.1,74.3,65.2,3 / 7,1 / 2,,95,47,51,13,5,4,79,40,38,10,5,4,1.6,1.5,1.2,0.6,0.7,,1.7,1.8,1.8,1.4,1.2,2.0,42.3,23.6,25.7,2 / 14,3 / 6,3 / 8,40.5,35.0,28.9,2 / 10,1 / 5,1 / 4,0.0,0.0,0.0,0 / 10,0 / 5,0 / 4,55.7,37.5,31.6,2 / 10,2 / 5,2 / 4,60.8,50.0,44.7,2 / 10,2 / 5,2 / 4,36,42,29,36,1.7,1.8,27.1,15.6,27.6,22.2,27.6,25.0,48.3,41.7,"Center for Reproductive Medicine, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
128,REPRODUCTIVE MEDICINE INSTITUTE,,ORLANDO,FLORIDA,100%,45%,0%,0%,18%,38%,52%,50%,14%,5%,24%,14%,0%,45%,24%,42,0,"Fernando L. Gomez, MD",16,6,8,8,2,0,1 / 16,0 / 6,0 / 8,1 / 8,0 / 2,,1.8,1.6,2.1,1.6,3.0,,34.8,5 / 8,4 / 15,0 / 8,0 / 6,,1 / 11,0 / 3,0 / 7,0 / 2,0 / 1,,0 / 16,4 / 6,2 / 8,0 / 8,0 / 2,,0 / 16,0 / 6,0 / 8,0 / 8,0 / 2,,3 / 16,4 / 6,3 / 8,0 / 8,0 / 2,,6 / 16,4 / 6,4 / 8,0 / 8,0 / 2,,13,5,7,5,2,0,0 / 13,4 / 5,2 / 7,0 / 5,0 / 2,,0 / 13,0 / 5,0 / 7,0 / 5,0 / 2,,3 / 13,4 / 5,3 / 7,0 / 5,0 / 2,,6 / 13,4 / 5,4 / 7,0 / 5,0 / 2,,6,4,4,0,0,0,0 / 6,4 / 4,2 / 4,,,,0 / 6,0 / 4,0 / 4,,,,3 / 6,4 / 4,3 / 4,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2.0,2.0,0 / 2,0 / 2,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,Reproductive Medicine Institute,Yes,No,Yes,Yes,Yes,No,Yes,0,FL
129,"NEW LEADERS IN INFERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,100%,88%,0%,0%,1%,25%,12%,36%,21%,1%,29%,2%,5%,14%,13%,187,0,"Barry A. Ripps, MD",95,37,20,13,4,1,11.6,8.1,15.0,0 / 13,0 / 4,0 / 1,1.9,2.1,2.2,2.6,2.0,,41.2,20.8,16.1,7.7,1 / 6,,7.3,0 / 19,0 / 11,0 / 7,0 / 1,,28.4,18.9,5.0,2 / 13,1 / 4,0 / 1,1.1,0.0,5.0,0 / 13,0 / 4,0 / 1,37.9,18.9,10.0,2 / 13,1 / 4,0 / 1,44.2,29.7,15.0,2 / 13,2 / 4,0 / 1,69,25,14,10,3,0,39.1,28.0,1 / 14,2 / 10,1 / 3,,1.4,0.0,1 / 14,0 / 10,0 / 3,,52.2,28.0,2 / 14,2 / 10,1 / 3,,60.9,44.0,3 / 14,2 / 10,2 / 3,,42,11,3,2,2,0,64.3,7 / 11,1 / 3,2 / 2,1 / 2,,2.4,0 / 11,1 / 3,0 / 2,0 / 2,,85.7,7 / 11,2 / 3,2 / 2,1 / 2,,9,4,2,0,0,0,7,4,2,0,0,0,1.8,1.3,0.7,,,,1.9,1.8,2.0,,,,4 / 13,0 / 7,0 / 4,,,,3 / 7,0 / 4,0 / 2,,,,0 / 7,0 / 4,0 / 2,,,,3 / 7,0 / 4,0 / 2,,,,5 / 7,1 / 4,0 / 2,,,,0,2,0,2,,2.0,,0 / 4,,0 / 2,,0 / 2,,0 / 2,"New Leaders in Infertility & Endocrinology, LLC",No,Yes,Yes,No,Yes,Yes,Yes,0,FL
130,FERTILITY & GENETICS,,PLANTATION,FLORIDA,100%,72%,0%,0%,<1%,21%,8%,55%,14%,16%,75%,19%,<1%,10%,67%,206,0,"Mick Abaé, MD",61,34,38,27,3,0,4.9,5.9,2.6,11.1,1 / 3,,2.1,2.5,3.1,3.1,3.0,,33.7,21.5,16.9,6.5,0 / 3,,2.4,4.0,0.0,0 / 17,0 / 1,,24.6,8.8,26.3,11.1,0 / 3,,0.0,0.0,0.0,0.0,0 / 3,,32.8,14.7,26.3,11.1,0 / 3,,41.0,32.4,28.9,14.8,0 / 3,,45,26,27,20,1,0,33.3,11.5,37.0,15.0,0 / 1,,0.0,0.0,0.0,0.0,0 / 1,,44.4,19.2,37.0,15.0,0 / 1,,55.6,42.3,40.7,20.0,0 / 1,,25,11,11,4,0,0,60.0,3 / 11,10 / 11,3 / 4,,,0.0,0 / 11,0 / 11,0 / 4,,,80.0,5 / 11,10 / 11,3 / 4,,,10,5,2,1,1,0,10,5,2,1,1,0,1.0,1.3,,,,,2.5,2.0,2.5,3.0,3.0,,0.0,3 / 10,0 / 5,0 / 3,0 / 3,,0 / 10,1 / 5,0 / 2,0 / 1,0 / 1,,0 / 10,0 / 5,0 / 2,0 / 1,0 / 1,,0 / 10,1 / 5,0 / 2,0 / 1,0 / 1,,0 / 10,2 / 5,0 / 2,0 / 1,0 / 1,,19,5,18,5,2.1,2.4,28.9,2 / 12,5 / 18,2 / 5,7 / 18,2 / 5,8 / 18,2 / 5,Fertility & Genetics,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
131,"FERTILITY CENTER AND APPLIED GENETICS OF FLORIDA, INC.",,SARASOTA,FLORIDA,100%,81%,0%,8%,25%,5%,7%,35%,5%,3%,47%,22%,2%,8%,17%,143,27,"Julio E. Pabon, MD",30,23,10,4,0,0,10.0,17.4,1 / 10,1 / 4,,,2.0,2.2,2.5,2.7,,,36.2,30.0,0 / 15,1 / 8,,,0 / 19,0 / 16,0 / 5,0 / 3,,,30.0,39.1,0 / 10,1 / 4,,,0.0,0.0,0 / 10,0 / 4,,,36.7,39.1,0 / 10,1 / 4,,,43.3,52.2,0 / 10,1 / 4,,,24,18,6,3,0,0,37.5,9 / 18,0 / 6,1 / 3,,,0.0,0 / 18,0 / 6,0 / 3,,,45.8,9 / 18,0 / 6,1 / 3,,,54.2,12 / 18,0 / 6,1 / 3,,,13,12,0,1,0,0,9 / 13,9 / 12,,1 / 1,,,0 / 13,0 / 12,,0 / 1,,,11 / 13,9 / 12,,1 / 1,,,17,6,1,0,0,0,17,6,1,0,0,0,0.8,0.8,1.0,0.0,,0.0,1.9,1.8,2.0,,,,42.4,5 / 11,1 / 2,,,,8 / 17,5 / 6,1 / 1,,,,0 / 17,0 / 6,0 / 1,,,,11 / 17,5 / 6,1 / 1,,,,11 / 17,5 / 6,1 / 1,,,,14,11,14,11,1.6,2.1,60.9,13.0,6 / 14,3 / 11,10 / 14,3 / 11,11 / 14,5 / 11,"Fertility Center and Applied Genetics of Florida, Inc.",Yes,Yes,Yes,Yes,Yes,No,No,0,FL
132,SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,100%,66%,0%,<1%,9%,17%,10%,13%,12%,4%,56%,48%,3%,11%,40%,919,30,"Juergen Eisermann, MD",219,187,153,93,19,2,5.0,15.5,23.5,21.5,1 / 19,1 / 2,1.8,1.8,1.9,2.1,2.2,2.0,52.3,39.3,22.8,21.2,17.9,0 / 2,16.8,7.0,2.7,0.0,0 / 8,0 / 1,29.2,26.7,13.7,10.8,3 / 19,0 / 2,1.8,0.0,0.0,1.1,0 / 19,0 / 2,48.4,38.5,17.0,12.9,3 / 19,0 / 2,54.8,42.8,18.3,19.4,4 / 19,0 / 2,182,146,90,48,13,1,35.2,34.2,23.3,20.8,3 / 13,0 / 1,2.2,0.0,0.0,2.1,0 / 13,0 / 1,58.2,49.3,28.9,25.0,3 / 13,0 / 1,65.9,54.8,31.1,37.5,4 / 13,0 / 1,120,80,28,18,4,0,53.3,62.5,75.0,10 / 18,3 / 4,,3.3,0.0,0.0,1 / 18,0 / 4,,88.3,90.0,92.9,12 / 18,3 / 4,,48,37,28,13,0,1,46,36,25,13,0,1,1.8,1.1,1.5,0.9,0.0,,1.8,1.7,2.0,1.8,,2.0,38.8,32.3,22.4,30.4,,1 / 2,45.7,25.0,32.0,5 / 13,,1 / 1,0.0,0.0,0.0,0 / 13,,0 / 1,54.3,36.1,36.0,5 / 13,,1 / 1,58.7,44.4,40.0,7 / 13,,1 / 1,55,34,50,32,1.9,1.8,73.1,44.6,36.0,43.8,82.0,56.3,84.0,59.4,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
133,"REPRODUCTIVE HEALTH ASSOCIATES, PA","CATHERINE COWART, MD, FACOG",TAMPA,FLORIDA,100%,74%,0%,0%,5%,38%,10%,14%,0%,0%,86%,0%,0%,0%,38%,21,0,"Catherine L. Cowart, MD",10,5,3,1,0,0,1 / 10,2 / 5,0 / 3,1 / 1,,,2.1,2.3,2.7,,,,3 / 19,3 / 7,3 / 8,,,,0 / 9,0 / 3,0 / 3,,,,3 / 10,1 / 5,1 / 3,0 / 1,,,0 / 10,0 / 5,0 / 3,0 / 1,,,3 / 10,2 / 5,2 / 3,0 / 1,,,3 / 10,2 / 5,2 / 3,0 / 1,,,9,3,3,0,0,0,3 / 9,1 / 3,1 / 3,,,,0 / 9,0 / 3,0 / 3,,,,3 / 9,2 / 3,2 / 3,,,,3 / 9,2 / 3,2 / 3,,,,3,2,2,0,0,0,3 / 3,1 / 2,1 / 2,,,,0 / 3,0 / 2,0 / 2,,,,3 / 3,2 / 2,2 / 2,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2.0,,1 / 2,,1 / 1,,1 / 1,,1 / 1,,"Reproductive Health Associates, PA, Catherine Cowart, MD, FACOG",Yes,No,Yes,No,Yes,No,Yes,0,FL
134,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,100%,46%,0%,<1%,1%,20%,7%,16%,12%,1%,37%,4%,21%,6%,11%,597,1,"Timothy Yeko, MD",202,103,89,29,7,0,5.4,7.8,7.9,6.9,1 / 7,,1.8,2.0,2.6,2.7,3.2,,39.2,33.0,21.6,8.7,1 / 19,,14.7,5.1,0.0,0.0,0 / 5,,34.7,19.4,28.1,6.9,1 / 7,,1.5,1.0,0.0,0.0,0 / 7,,44.6,33.0,34.8,10.3,1 / 7,,50.5,39.8,39.3,17.2,1 / 7,,179,87,73,26,6,0,39.1,23.0,34.2,7.7,1 / 6,,1.7,1.1,0.0,0.0,0 / 6,,50.3,39.1,42.5,11.5,1 / 6,,57.0,47.1,47.9,19.2,1 / 6,,102,41,35,5,1,0,68.6,48.8,71.4,2 / 5,1 / 1,,2.9,2.4,0.0,0 / 5,0 / 1,,88.2,82.9,88.6,3 / 5,1 / 1,,33,24,11,3,1,0,32,23,9,3,0,0,2.7,2.3,2.3,,,,1.6,1.5,1.9,1.7,,,33.3,57.1,2 / 17,2 / 5,,,37.5,39.1,1 / 9,1 / 3,,,0.0,0.0,0 / 9,0 / 3,,,40.6,52.2,1 / 9,1 / 3,,,50.0,73.9,2 / 9,2 / 3,,,71,23,63,23,1.7,1.6,41.3,48.6,39.7,30.4,49.2,47.8,61.9,60.9,This clinic has closed or reorganized since 2012.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,0,FL
135,UNIVERSITY OF SOUTH FLORIDA IVF,,TAMPA,FLORIDA,100%,45%,0%,2%,0%,25%,14%,30%,9%,5%,26%,11%,11%,12%,14%,237,1,"Shayne Plosker, MD",59,31,35,13,8,4,6.8,12.9,14.3,4 / 13,2 / 8,1 / 4,1.8,2.4,2.9,3.3,2.3,1.5,24.7,24.2,18.4,0.0,2 / 14,0 / 3,16.3,0.0,3.3,0 / 6,0 / 4,0 / 1,30.5,29.0,17.1,0 / 13,1 / 8,0 / 4,0.0,0.0,0.0,0 / 13,0 / 8,0 / 4,32.2,38.7,22.9,0 / 13,1 / 8,0 / 4,35.6,38.7,40.0,0 / 13,1 / 8,0 / 4,50,26,30,7,6,2,36.0,34.6,20.0,0 / 7,1 / 6,0 / 2,0.0,0.0,0.0,0 / 7,0 / 6,0 / 2,38.0,46.2,26.7,0 / 7,1 / 6,0 / 2,42.0,46.2,46.7,0 / 7,1 / 6,0 / 2,21,12,14,0,1,0,85.7,9 / 12,6 / 14,,1 / 1,,0.0,0 / 12,0 / 14,,0 / 1,,90.5,12 / 12,8 / 14,,1 / 1,,22,13,11,3,0,0,20,11,10,3,0,0,2.5,11.0,2.0,,,,1.8,1.6,2.0,2.3,,,38.9,3 / 18,0.0,2 / 7,,,20.0,2 / 11,0 / 10,2 / 3,,,0.0,0 / 11,0 / 10,0 / 3,,,45.0,2 / 11,0 / 10,2 / 3,,,45.0,3 / 11,0 / 10,3 / 3,,,22,15,17,12,1.8,1.9,38.7,26.1,6 / 17,1 / 12,8 / 17,3 / 12,8 / 17,5 / 12,University of South Florida IVF,Yes,Yes,Yes,Yes,Yes,Yes,No,0,FL
136,F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,97%,79%,0%,6%,0%,25%,10%,86%,7%,3%,27%,4%,1%,23%,22%,73,0,"Minna R. Selub, MD",8,13,8,4,0,1,0 / 8,1 / 13,0 / 8,0 / 4,,0 / 1,2.4,2.9,2.1,2.3,,1.0,0 / 17,4.3,1 / 17,1 / 9,,0 / 1,0 / 6,0 / 8,0 / 6,0 / 4,,,0 / 8,1 / 13,1 / 8,0 / 4,,0 / 1,0 / 8,0 / 13,0 / 8,0 / 4,,0 / 1,0 / 8,1 / 13,1 / 8,0 / 4,,0 / 1,0 / 8,1 / 13,1 / 8,1 / 4,,0 / 1,7,8,8,4,0,1,0 / 7,1 / 8,1 / 8,0 / 4,,0 / 1,0 / 7,0 / 8,0 / 8,0 / 4,,0 / 1,0 / 7,1 / 8,1 / 8,0 / 4,,0 / 1,0 / 7,1 / 8,1 / 8,1 / 4,,0 / 1,0,1,1,1,0,0,,1 / 1,1 / 1,0 / 1,,,,0 / 1,0 / 1,0 / 1,,,,1 / 1,1 / 1,0 / 1,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,33,4,2.5,2.5,8.3,0 / 10,15.2,0 / 4,15.2,0 / 4,24.2,0 / 4,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
