OrderID,Clinic_Name,PrevClinName2,City,State,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,No_of_IVF_cycles_in_2012,TotBankingCycles,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTripLBRate1,FshNDTripLBRate2,FshNDTripLBRate3,FshNDTripLBRate4,FshNDTripLBRate5,FshNDTripLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTripLB_TransRate1,FshNDTripLB_TransRate2,FshNDTripLB_TransRate3,FshNDTripLB_TransRate4,FshNDTripLB_TransRate5,FshNDTripLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,FshNDPregnancies1,FshNDPregnancies2,FshNDPregnancies3,FshNDPregnancies4,FshNDPregnancies5,FshNDPregnancies6,FshNDSnglLB_PregRate1,FshNDSnglLB_PregRate2,FshNDSnglLB_PregRate3,FshNDSnglLB_PregRate4,FshNDSnglLB_PregRate5,FshNDSnglLB_PregRate6,FshNDTripLB_PregRate1,FshNDTripLB_PregRate2,FshNDTripLB_PregRate3,FshNDTripLB_PregRate4,FshNDTripLB_PregRate5,FshNDTripLB_PregRate6,FshNDLvBirths_PregRate1,FshNDLvBirths_PregRate2,FshNDLvBirths_PregRate3,FshNDLvBirths_PregRate4,FshNDLvBirths_PregRate5,FshNDLvBirths_PregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTripLB_TransRate1,ThwNDTripLB_TransRate2,ThwNDTripLB_TransRate3,ThwNDTripLB_TransRate4,ThwNDTripLB_TransRate5,ThwNDTripLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
105,REPRODUCTIVE ASSOCIATES OF DELAWARE,,NEWARK,DELAWARE,100%,83%,0%,<1%,9%,31%,18%,27%,51%,21%,40%,14%,<1%,38%,30%,487,65,"Ronald F. Feinberg, MD, PhD",94,37,21,9,1,0,9.6,18.9,28.6,9-May,0 / 1,,1.2,1.3,1.5,1.7,,,53.7,33.3,13.6,0 / 5,,,83.8,72.7,12-May,3-Jan,,,38.3,24.3,9.5,0 / 9,0 / 1,,0,0,0,0 / 9,0 / 1,,41.5,24.3,9.5,0 / 9,0 / 1,,45.7,27,19,0 / 9,0 / 1,,71,24,15,3,0,0,50.7,37.5,15-Feb,0 / 3,,,0,0,0 / 15,0 / 3,,,54.9,37.5,15-Feb,0 / 3,,,60.6,41.7,15-Apr,0 / 3,,,43,10,4,0,0,0,83.7,10-Sep,4-Feb,,,,0,0 / 10,0 / 4,,,,90.7,10-Sep,4-Feb,,,,123,55,29,12,6,0,107,50,26,12,6,0,1.9,2.8,1.4,0.9,0.8,,1.1,1.2,1.2,1.2,1.3,,64.1,53.4,60,14-Jun,8-Feb,,57.9,44,57.7,12-May,6-Feb,,0,0,0,0 / 12,0 / 6,,58.9,48,61.5,12-May,6-Feb,,67.3,58,73.1,12-Jun,6-Feb,,2,33,2,31,1,1.2,2-Jan,33.3,2-Jan,32.3,2-Jan,32.3,2-Jan,38.7,Reproductive Associates of Delaware,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DE
106,"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",WALTER REED ARMY MEDICAL CENTER,WASHINGTON,DISTRICT OF COLUMBIA,100%,82%,0%,0%,<1%,27%,13%,7%,7%,<1%,41%,1%,22%,4%,13%,525,3,"James Segars, MD",218,99,98,32,0,0,3.7,5.1,5.1,6.3,,,1.5,1.7,2.2,2.5,,,40.4,37.1,19.5,24.6,,,31.6,16.2,1.3,0,,,36.2,28.3,20.4,21.9,,,0,0,0,0,,,44,35.4,23.5,28.1,,,49.1,45.5,35.7,40.6,,,203,87,87,28,0,0,38.9,32.2,23,25,,,0,0,0,0,,,47.3,40.2,26.4,32.1,,,52.7,51.7,40.2,46.4,,,107,45,35,13,0,0,73.8,62.2,57.1,13-Jul,,,0,0,0,0 / 13,,,89.7,77.8,65.7,13-Sep,,,46,18,8,0,2,1,45,16,8,0,1,1,2,2.3,2.7,0,,,1.4,1.9,1.8,,2,1,32.8,20,14-Mar,,0 / 2,0 / 1,31.1,0 / 16,0 / 8,,0 / 1,0 / 1,0,0 / 16,0 / 8,,0 / 1,0 / 1,35.6,16-Mar,8-Jan,,0 / 1,0 / 1,53.3,16-Apr,8-Mar,,0 / 1,0 / 1,0,0,0,0,,,,,,,,,,,"The A.R.T. Institute of Washington, Inc., Walter Reed National Military Medical Center",No,No,Yes,No,Yes,Yes,Yes,0,DC
107,COLUMBIA FERTILITY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,100%,59%,4%,<1%,5%,5%,10%,18%,3%,4%,34%,32%,22%,5%,18%,710,27,"Safa Rifka, MD",119,96,119,101,64,40,7.6,10.4,11.8,20.8,20.3,15,1.8,1.9,1.9,2.1,2.5,2.5,26.6,20.5,15.6,5.1,3.5,3.4,21.8,7.1,7.9,2,0,0 / 16,21.8,18.8,12.6,4,6.3,2.5,0,0,0,0,0,0,28.6,22.9,14.3,5,6.3,2.5,31.9,28.1,18.5,5.9,6.3,5,98,76,89,64,46,24,26.5,23.7,16.9,6.3,8.7,4.2,0,0,0,0,0,0,34.7,28.9,19.1,7.8,8.7,4.2,38.8,35.5,24.7,9.4,8.7,8.3,38,27,22,6,4,2,68.4,66.7,68.2,6-Apr,4-Apr,2-Jan,0,0,0,0 / 6,0 / 4,0 / 2,89.5,81.5,77.3,6-May,4-Apr,2-Jan,29,13,26,13,6,5,27,13,25,12,4,4,1,0.8,0.9,0.9,4,4,1.7,1.8,1.8,1.8,1.5,2,15.6,26.1,22.7,9.5,6-Jan,0 / 8,3.7,13-Feb,24,12-Feb,4-Jan,0 / 4,0,0 / 13,0,0 / 12,0 / 4,0 / 4,3.7,13-Mar,32,12-Feb,4-Jan,0 / 4,25.9,13-May,32,12-Feb,4-Jan,0 / 4,37,15,33,15,1.8,1.7,31.7,15.4,27.3,15-Jan,42.4,15-Jan,42.4,15-Apr,Columbia Fertility Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DC
108,THE GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,100%,85%,10%,<1%,9%,3%,2%,8%,1%,<1%,17%,6%,67%,1%,3%,507,25,"David Frankfurter, MD",76,74,81,78,34,5,2.6,10.8,4.9,5.1,8.8,5-Jan,1.6,1.6,2.2,2.4,2.3,2.8,28.6,14.6,18.9,5.4,2,0 / 11,43.4,25.7,4.5,2.6,0 / 13,0 / 3,28.9,9.5,14.8,5.1,2.9,0 / 5,0,0,0,0,0,0 / 5,31.6,9.5,17.3,5.1,2.9,0 / 5,36.8,16.2,28.4,9,2.9,0 / 5,63,50,60,53,22,4,34.9,14,20,7.5,4.5,0 / 4,0,0,0,0,0,0 / 4,38.1,14,23.3,7.5,4.5,0 / 4,44.4,24,38.3,13.2,4.5,0 / 4,28,12,23,7,1,0,78.6,12-Jul,52.2,7-Apr,1-Jan,,0,0 / 12,0,0 / 7,0 / 1,,85.7,12-Jul,60.9,7-Apr,1-Jan,,31,32,20,12,5,3,27,28,16,11,5,3,1,1.4,1,1.6,0.7,1,1.7,1.9,2.3,2.4,2.2,3,30.2,19.2,18.9,7.7,0 / 11,0 / 9,14.8,25,16-Mar,11-Jan,0 / 5,0 / 3,0,0,0 / 16,0 / 11,0 / 5,0 / 3,29.6,28.6,16-Apr,11-Jan,0 / 5,0 / 3,37,32.1,16-May,11-Mar,0 / 5,0 / 3,17,14,16,13,1.4,2.1,40.9,11.1,16-Aug,13-Mar,16-Aug,13-Mar,16-Sep,13-Apr,This clinic has closed or reorganized since 2012.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,0,DC
109,"JAMES A. SIMON, MD, PC",,WASHINGTON,DISTRICT OF COLUMBIA,100%,100%,0%,0%,0%,0%,0%,0%,0%,33%,67%,0%,33%,0%,33%,3,0,"James A. Simon, MD",0,0,1,0,0,0,,,0 / 1,,,,,,1,,,,,,0 / 1,,,,,,,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,0,0,1,0,0,0,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,1,0,0,1,0,,,,,,,,1,,,2,,,1-Jan,,,0 / 2,,,1-Jan,,,0 / 1,,,0 / 1,,,0 / 1,,,1-Jan,,,0 / 1,,,1-Jan,,,0 / 1,,0,0,0,0,,,,,,,,,,,"James A. Simon, MD, PC",Yes,Yes,Yes,No,Yes,Yes,Yes,0,DC
110,BOCAFERTILITY,,BOCA RATON,FLORIDA,100%,62%,0%,4%,6%,12%,5%,51%,6%,4%,24%,13%,2%,7%,9%,109,0,"Maurice (Moshe) R. Peress, MD",28,16,22,9,3,0,7.1,0 / 16,4.5,9-Feb,0 / 3,,1.9,1.5,1.9,2.1,1.5,,36.4,42.9,13.5,15-Jan,0 / 3,,4.5,11-Apr,0 / 15,0 / 6,0 / 1,,17.9,16-Mar,9.1,9-Jan,0 / 3,,0,0 / 16,0,0 / 9,0 / 3,,32.1,16-Apr,9.1,9-Jan,0 / 3,,35.7,16-Jul,27.3,9-Jan,0 / 3,,23,14,19,7,2,0,21.7,14-Mar,19-Feb,7-Jan,0 / 2,,0,0 / 14,0 / 19,0 / 7,0 / 2,,39.1,14-Apr,19-Feb,7-Jan,0 / 2,,43.5,14-Jul,19-Jun,7-Jan,0 / 2,,10,7,6,1,0,0,10-May,7-Mar,6-Feb,1-Jan,,,0 / 10,0 / 7,0 / 6,0 / 1,,,10-Sep,7-Apr,6-Feb,1-Jan,,,3,4,4,2,0,0,3,4,4,2,0,0,1,1.3,1.3,1,,,1,1.8,2,2,,,0 / 2,7-Apr,8-Apr,4-Feb,,,0 / 3,4-Feb,4-Feb,2-Jan,,,0 / 3,0 / 4,0 / 4,0 / 2,,,0 / 3,4-Mar,4-Mar,2-Jan,,,0 / 3,4-Mar,4-Apr,2-Jan,,,15,3,13,3,2,2,46.2,6-Mar,13-May,3-Mar,13-Jul,3-Mar,13-Oct,3-Mar,BocaFertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
111,PALM BEACH FERTILITY CENTER,,BOCA RATON,FLORIDA,100%,89%,0%,4%,11%,12%,13%,63%,19%,11%,62%,8%,<1%,12%,52%,114,3,"Mark S. Denker, MD",40,12,13,3,2,2,12.5,12-Feb,13-Jan,0 / 3,0 / 2,0 / 2,1.9,2.4,1.8,1.7,1,2,32.1,19-Apr,0,5-Feb,0 / 1,0 / 4,8.7,0 / 7,0 / 8,0 / 2,,0 / 2,27.5,12-Feb,0 / 13,0 / 3,0 / 2,0 / 2,0,0 / 12,0 / 13,0 / 3,0 / 2,0 / 2,32.5,12-Mar,0 / 13,3-Jan,0 / 2,0 / 2,37.5,12-Mar,0 / 13,3-Jan,0 / 2,0 / 2,30,8,11,3,1,2,36.7,8-Feb,0 / 11,0 / 3,0 / 1,0 / 2,0,0 / 8,0 / 11,0 / 3,0 / 1,0 / 2,43.3,8-Mar,0 / 11,3-Jan,0 / 1,0 / 2,50,8-Mar,0 / 11,3-Jan,0 / 1,0 / 2,15,3,0,1,0,0,15-Nov,3-Feb,,0 / 1,,,0 / 15,0 / 3,,0 / 1,,,13 / 15,3-Mar,,1-Jan,,,3,1,1,0,0,1,3,1,0,0,0,1,1,1,0,,0,1,2,2,,,,2,6-Feb,0 / 2,,,,0 / 2,3-Feb,0 / 1,,,,0 / 1,0 / 3,0 / 1,,,,0 / 1,3-Feb,0 / 1,,,,0 / 1,3-Feb,0 / 1,,,,1-Jan,24,9,21,6,2,1.7,36.6,0 / 10,28.6,0 / 6,47.6,0 / 6,47.6,0 / 6,Palm Beach Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
112,ADVANCED REPRODUCTIVE CARE CENTER,,BOYNTON BEACH,FLORIDA,100%,25%,0%,0%,0%,31%,8%,46%,0%,8%,23%,0%,8%,8%,15%,13,0,"Tibor Polcz, MD",4,1,2,1,0,0,0 / 4,0 / 1,0 / 2,0 / 1,,,2,2,2.5,2,,,8-Apr,2-Feb,5-Feb,0 / 2,,,0 / 4,0 / 1,0 / 2,0 / 1,,,0 / 4,0 / 1,2-Jan,0 / 1,,,0 / 4,0 / 1,0 / 2,0 / 1,,,4-Feb,1-Jan,2-Jan,0 / 1,,,4-Mar,1-Jan,2-Jan,0 / 1,,,4,1,2,1,0,0,0 / 4,0 / 1,2-Jan,0 / 1,,,0 / 4,0 / 1,0 / 2,0 / 1,,,4-Feb,1-Jan,2-Jan,0 / 1,,,4-Mar,1-Jan,2-Jan,0 / 1,,,3,1,1,0,0,0,0 / 3,0 / 1,1-Jan,,,,0 / 3,0 / 1,0 / 1,,,,3-Feb,1-Jan,1-Jan,,,,0,0,1,0,0,0,0,0,1,0,0,0,,,1,,,,,,1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,1,3,1,3,1,2,0 / 1,6-Mar,0 / 1,3-Jan,0 / 1,3-Feb,0 / 1,3-Feb,Advanced Reproductive Care Center,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL
113,FLORIDA FERTILITY INSTITUTE,,CLEARWATER,FLORIDA,100%,77%,0%,0%,7%,24%,17%,34%,15%,7%,43%,18%,5%,14%,30%,133,8,"Mark D. Sanchez, MD",48,15,8,11,3,0,4.2,15-Jan,8-Jan,11-Jan,0 / 3,,2.4,2.7,3.2,2.6,4,,23.4,23.7,19-Apr,4.3,0 / 12,,0,0 / 12,0 / 6,0 / 8,0 / 3,,25,15-Apr,8-Jan,11-Jan,0 / 3,,0,0 / 15,8-Jan,0 / 11,0 / 3,,37.5,15-May,8-Feb,11-Jan,0 / 3,,39.6,15-Jun,8-Feb,11-Feb,0 / 3,,45,14,6,9,3,0,26.7,14-Apr,6-Jan,9-Jan,0 / 3,,0,0 / 14,6-Jan,0 / 9,0 / 3,,40,14-May,6-Feb,9-Jan,0 / 3,,42.2,14-Jun,6-Feb,9-Feb,0 / 3,,19,6,2,2,0,0,19-Dec,6-Apr,2-Jan,2-Jan,,,0 / 19,0 / 6,2-Jan,0 / 2,,,18 / 19,6-May,2-Feb,2-Jan,,,13,3,0,2,0,0,13,3,0,2,0,0,1.6,1,,1,0,,2.7,2.7,,2.5,,,25.7,8-Jan,,5-Feb,,,13-Jan,3-Jan,,2-Jan,,,0 / 13,0 / 3,,0 / 2,,,13-May,3-Jan,,2-Jan,,,13-May,3-Jan,,2-Feb,,,12,10,12,9,2.3,2.6,40.7,13,12-Feb,9-Jan,12-Jun,9-Jan,12-Jul,9-Mar,Florida Fertility Institute,Yes,No,Yes,Yes,Yes,No,Yes,0,FL
114,INFERTILITY AND REPRODUCTIVE MEDICINE OF SOUTH BROWARD,,COOPER CITY,FLORIDA,100%,79%,0%,0%,11%,22%,22%,30%,9%,9%,22%,9%,13%,13%,17%,23,0,"Kenneth Gelman, MD",10,2,5,1,1,0,0 / 10,0 / 2,5-Jan,0 / 1,0 / 1,,2.1,2,2.3,2,2,,38.1,4-Apr,0 / 7,2-Feb,0 / 2,,0 / 9,0 / 2,0 / 3,0 / 1,0 / 1,,10-Mar,0 / 2,0 / 5,0 / 1,0 / 1,,0 / 10,0 / 2,0 / 5,0 / 1,0 / 1,,10-May,2-Feb,0 / 5,1-Jan,0 / 1,,10-May,2-Feb,5-Jan,1-Jan,0 / 1,,10,2,3,1,1,0,10-Mar,0 / 2,0 / 3,0 / 1,0 / 1,,0 / 10,0 / 2,0 / 3,0 / 1,0 / 1,,10-May,2-Feb,0 / 3,1-Jan,0 / 1,,10-May,2-Feb,3-Jan,1-Jan,0 / 1,,5,2,1,1,0,0,5-Mar,0 / 2,0 / 1,0 / 1,,,0 / 5,0 / 2,0 / 1,0 / 1,,,5-May,2-Feb,0 / 1,1-Jan,,,2,2,0,0,0,0,2,2,0,0,0,0,,,,,,,2,2.5,,,,,4-Mar,5-Feb,,,,,2-Jan,0 / 2,,,,,0 / 2,0 / 2,,,,,2-Feb,0 / 2,,,,,2-Feb,2-Jan,,,,,0,0,0,0,,,,,,,,,,,Infertility and Reproductive Medicine of South Broward,No,No,Yes,No,Yes,No,No,0,FL
115,"SOUTHWEST FLORIDA FERTILITY CENTER, PA",,FORT MYERS,FLORIDA,100%,28%,0%,6%,0%,22%,13%,22%,17%,13%,30%,0%,13%,4%,17%,23,0,"Jacob L. Glock, MD",9,4,3,1,0,1,0 / 9,0 / 4,0 / 3,0 / 1,,0 / 1,2.8,3,2.7,,,,36,12-Mar,8-Jan,,,,0 / 9,0 / 4,0 / 3,,,,0 / 9,4-Jan,3-Jan,0 / 1,,0 / 1,9-Jan,0 / 4,0 / 3,0 / 1,,0 / 1,9-Apr,4-Feb,3-Jan,0 / 1,,0 / 1,9-Apr,4-Feb,3-Jan,0 / 1,,0 / 1,9,4,3,0,0,0,0 / 9,4-Jan,3-Jan,,,,9-Jan,0 / 4,0 / 3,,,,9-Apr,4-Feb,3-Jan,,,,9-Apr,4-Feb,3-Jan,,,,4,2,1,0,0,0,0 / 4,2-Jan,1-Jan,,,,4-Jan,0 / 2,0 / 1,,,,4-Apr,2-Feb,1-Jan,,,,1,2,0,0,0,0,1,2,0,0,0,0,,,,,,,3,3,,,,,0 / 3,0 / 6,,,,,0 / 1,0 / 2,,,,,0 / 1,0 / 2,,,,,0 / 1,0 / 2,,,,,0 / 1,0 / 2,,,,,0,2,0,2,,3,,6-Mar,,2-Jan,,2-Feb,,2-Feb,"Southwest Florida Fertility Center, PA",Yes,No,Yes,Yes,Yes,No,Yes,0,FL
116,"SPECIALISTS IN REPRODUCTIVE MEDICINE AND SURGERY, PA","CRAIG R. SWEET, MD",FORT MYERS,FLORIDA,100%,69%,0%,3%,7%,21%,16%,50%,23%,<1%,21%,12%,0%,23%,15%,127,1,"Craig R. Sweet, MD",35,24,10,4,1,0,5.7,0,10-Apr,0 / 4,0 / 1,,2,2.7,2.7,2.3,2,,33.9,11.9,16-Mar,9-Jan,0 / 2,,10.7,4.8,0 / 6,0 / 3,0 / 1,,25.7,12.5,10-Jan,4-Jan,0 / 1,,0,0,0 / 10,0 / 4,0 / 1,,40,16.7,10-Jan,4-Jan,0 / 1,,42.9,29.2,10-Mar,4-Jan,0 / 1,,29,22,6,4,1,0,31,13.6,6-Jan,4-Jan,0 / 1,,0,0,0 / 6,0 / 4,0 / 1,,48.3,18.2,6-Jan,4-Jan,0 / 1,,51.7,31.8,6-Mar,4-Jan,0 / 1,,15,7,3,1,0,0,15-Sep,7-Mar,3-Jan,1-Jan,,,0 / 15,0 / 7,0 / 3,0 / 1,,,14 / 15,7-Apr,3-Jan,1-Jan,,,6,6,0,1,0,0,5,4,0,1,0,0,1.3,1.3,,,,,3,2.8,,3,,,15-May,0 / 11,,0 / 3,,,5-Feb,0 / 4,,0 / 1,,,5-Jan,0 / 4,,0 / 1,,,5-Mar,0 / 4,,0 / 1,,,5-Mar,0 / 4,,0 / 1,,,16,23,12,19,2.2,3,30.8,19.3,12-Jun,19-Jun,12-Jul,19-Jul,12-Jul,19-Sep,"Specialists in Reproductive Medicine and Surgery, PA, Craig R. Sweet, MD",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
117,UNIVERSITY OF FLORIDA WOMEN'S HEALTH AT MAGNOLIA PARKE,,GAINESVILLE,FLORIDA,100%,63%,2%,0%,0%,11%,12%,24%,25%,0%,40%,38%,3%,17%,26%,81,0,"Alice Rhoton-Vlasak, MD",31,10,9,8,1,0,6.5,10-Jan,9-Feb,8-Feb,1-Jan,,1.7,1.9,2.6,3.5,,,51,17-Apr,18-Jan,19,,,25,0 / 7,0 / 7,0 / 6,,,35.5,10-Mar,9-Jan,8-Jan,0 / 1,,0,0 / 10,0 / 9,0 / 8,0 / 1,,51.6,10-Mar,9-Jan,8-Jan,0 / 1,,61.3,10-Apr,9-Jan,8-Mar,0 / 1,,29,9,7,6,0,0,37.9,9-Mar,7-Jan,6-Jan,,,0,0 / 9,0 / 7,0 / 6,,,55.2,9-Mar,7-Jan,6-Jan,,,65.5,9-Apr,7-Jan,6-Mar,,,19,4,1,3,0,0,19-Nov,4-Mar,1-Jan,3-Jan,,,0 / 19,0 / 4,0 / 1,0 / 3,,,16 / 19,4-Mar,1-Jan,3-Jan,,,5,2,0,0,2,0,5,2,0,0,2,0,2.5,1,,,,,1.4,1.5,,,2,,7-Feb,3-Feb,,,0 / 4,,5-Feb,2-Jan,,,0 / 2,,0 / 5,0 / 2,,,0 / 2,,5-Feb,2-Jan,,,0 / 2,,5-Feb,2-Feb,,,0 / 2,,12,1,9,1,1.3,1,12-Aug,1-Jan,9-Jun,1-Jan,9-Jun,1-Jan,9-Jul,1-Jan,University of Florida Reproductive Medicine at Springhill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
118,ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,100%,65%,0%,2%,4%,21%,19%,19%,15%,6%,29%,15%,10%,19%,13%,68,0,"Marwan M. Shaykh, MD",31,14,4,1,0,2,3.2,14-Jan,0 / 4,0 / 1,,0 / 2,2,2.7,4,1,,1,16.9,11.4,16-Jan,0 / 1,,0 / 1,0,0 / 11,0 / 4,,,,12.9,14-Jan,0 / 4,0 / 1,,0 / 2,0,0 / 14,0 / 4,0 / 1,,0 / 2,19.4,14-Feb,0 / 4,0 / 1,,0 / 2,29,14-Mar,4-Jan,0 / 1,,0 / 2,29,13,4,1,0,1,13.8,13-Jan,0 / 4,0 / 1,,0 / 1,0,0 / 13,0 / 4,0 / 1,,0 / 1,20.7,13-Feb,0 / 4,0 / 1,,0 / 1,31,13-Mar,4-Jan,0 / 1,,0 / 1,9,3,1,0,0,0,9-Apr,3-Jan,0 / 1,,,,0 / 9,0 / 3,0 / 1,,,,9-Jun,3-Feb,0 / 1,,,,2,1,0,0,0,0,2,1,0,0,0,0,,,,,,,2,2,,,,,0 / 4,2-Jan,,,,,0 / 2,0 / 1,,,,,0 / 2,0 / 1,,,,,0 / 2,0 / 1,,,,,0 / 2,1-Jan,,,,,9,4,9,4,1.9,1.5,17-May,6-Jan,9-Mar,4-Jan,9-Apr,4-Jan,9-Apr,4-Jan,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
119,BROWN FERTILITY,,JACKSONVILLE,FLORIDA,100%,82%,0%,3%,<1%,9%,19%,17%,30%,9%,31%,17%,4%,15%,16%,184,0,"Samuel E. Brown, MD",75,23,32,6,4,2,1.3,0,9.4,0 / 6,4-Feb,0 / 2,1.9,2.2,2.4,2.2,2.5,4.5,31.9,30,17.6,0 / 11,5-Feb,0 / 9,17.1,13,0,0 / 4,0 / 2,0 / 2,24,17.4,21.9,0 / 6,0 / 4,0 / 2,0,0,0,0 / 6,0 / 4,0 / 2,33.3,30.4,25,0 / 6,4-Jan,0 / 2,49.3,52.2,34.4,0 / 6,4-Jan,0 / 2,71,23,28,5,2,2,25.4,17.4,25,0 / 5,0 / 2,0 / 2,0,0,0,0 / 5,0 / 2,0 / 2,35.2,30.4,28.6,0 / 5,2-Jan,0 / 2,52.1,52.2,39.3,0 / 5,2-Jan,0 / 2,37,12,11,0,1,0,48.6,12-Apr,11-Jul,,0 / 1,,0,0 / 12,0 / 11,,0 / 1,,67.6,12-Jul,11-Aug,,1-Jan,,12,2,5,1,0,0,12,2,5,1,0,0,1.1,1,1.3,1,,,1.9,2,2.4,2,,,34.8,0 / 4,12-Apr,0 / 2,,,12-Feb,0 / 2,5-Jan,0 / 1,,,0 / 12,0 / 2,0 / 5,0 / 1,,,12-Mar,0 / 2,5-Jan,0 / 1,,,12-Jul,0 / 2,5-Mar,0 / 1,,,22,0,20,0,2,,43.6,,35,,60,,75,,Brown Fertility,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL
